"cat,weight"
"animals,5"
"buildings and architecture,2"
"business,13"
"drinks,1"
"the environment,1"
"states of mind,1"
"food,1"
"graphic resources,15"
"hobbies and leisure,4"
"industry,1"
"landscape,9"
"lifestyle,4"
"people,12"
"plants and flowers,1"
"culture and religion,4"
"science,3"
"social issues,0"
"sports,3"
"technology,3"
"transport,1"
"travel,1"
